"","iso_code","k","Location","date","T","CC","P","D","aged_70_older","hospital_beds_per_thousand","UHC","CVD","sero","days_since_first_10infections","days_till_lockdown","scale_aged_70_older","scale_hospital_beds_per_thousand","scale_days_since_first_10infections","scale_days_till_lockdown","scale_UHC","scale_CVD","study_names"
"2","CHE",1,"Geneva (Switzerland)","2020-04-23",440,48,506765,243,12,4.8,83,10.3,1,54,6,-0.249724837119369,0.224411892173702,-0.317062918832161,-1.17982604881679,0.624954073974029,-0.851213720293264,"1- Geneva (Switzerland)"
"6","DEU",2,"Gangelt (Germany) ","2020-04-02",153,27,12597,7,14,8,83,13.5,1,58,32,0.730571413958182,1.62686582771586,0.107097229210078,1.36289207192459,0.624954073974029,0.984646775068161,"2- Gangelt (Germany) "
"21","LUX",3,"Luxembourg","2020-04-26",1213,23,615729,92,10,4.51,83,12.1,1,44,8,-1.4091692120389,0.0533178978170244,-1.5326644829391,-0.767712791256307,0.624954073974029,0.241712361696261,"3- Luxembourg"
"14","HRV",4,"Split-Dalmatia (Croatia)","2020-04-25",937,12,447723,29,14,5.54,71,13.4,1,50,14,0.730571413958182,0.618052791198044,-0.773881836749048,0.0699550390214743,-1.86462524954183,0.934194748893359,"4- Split-Dalmatia (Croatia)"
"4","CHE",5,"Zurich (Switzerland)","2020-04-07",1166,13,1520968,127,12,4.1,83,10.3,1,38,6,-0.249724837119369,-0.208352876993286,-2.40286113639562,-1.17982604881679,0.624954073974029,-0.851213720293264,"5- Zurich (Switzerland)"
"1","AUT",6,"Austria","2020-05-01",264079,15424,9006400,626,14,7.37,79,12.3,0,61,14,0.730571413958182,1.40167224790455,0.406440476694382,0.0699550390214743,-0.162485776014199,0.352956922967783,"6- Austria"
"15","HRV",7,"Croatia","2020-05-02",37557,2085,4105268,95,13,5.54,71,13.4,0,57,14,0.259293782496145,0.618052791198044,0.00386477589292528,0.0699550390214743,-1.86462524954183,0.934194748893359,"7- Croatia"
"5","CZE",8,"Czech Republic","2020-05-01",258368,7682,10708978,293,12,6.63,76,15.4,0,56,8,-0.249724837119369,1.11116661556788,-0.101194895062319,-0.767712791256307,-0.77968863219249,1.87818171037305,"8- Czech Republic"
"8","DNK",9,"Denmark","2020-05-01",266123,9158,5792203,538,12,2.5,81,11.7,0,57,5,-0.249724837119369,-1.56652415694222,0.00386477589292528,-1.43260715356007,0.236095382837566,0.0135978983140436,"9- Denmark"
"10","EST",10,"Estonia","2020-05-01",54439,1689,1326539,62,13,4.69,75,12,0,55,13,0.259293782496145,0.160762853174681,-0.208147634587422,-0.0431816289025758,-0.990849546288146,0.185398625546329,"10- Estonia"
"11","FIN",11,"Finland","2020-05-01",106438,4995,5540716,287,13,3.28,78,12.6,0,56,42,0.259293782496145,-0.820985715229352,-0.101194895062319,1.79694319871704,-0.365576623654535,0.516477275455207,"11- Finland"
"7","DEU",12,"Germany","2020-05-03",2773432,162496,83783930,7914,16,8,83,13.5,0,89,32,1.57974265172159,1.62686582771586,2.64873159531005,1.36289207192459,0.624954073974029,0.984646775068161,"12- Germany"
"13","GRC",13,"Greece","2020-05-01",77251,2591,10423036,156,15,4.21,75,12.2,0,57,7,1.16932039220158,-0.135664837381473,0.00386477589292528,-0.960857095949627,-0.990849546288146,0.297562605051272,"13- Greece"
"17","ISL",14,"Iceland","2020-05-01",49961,1797,341250,10,9,2.91,84,9.1,0,58,15,-2.07919232596033,-1.14959137295369,0.107097229210078,0.175787323964588,0.815883493042266,-1.69176307011643,"14- Iceland"
"16","IRL",15,"Ireland","2020-05-01",177097,20612,4937796,1506,9,2.96,76,8.6,0,56,11,-2.07919232596033,-1.10281911524545,-0.101194895062319,-0.29596273364586,-0.77968863219249,-2.07524171987831,"15- Ireland"
"18","ITA",16,"Italy","2020-05-01",2053425,205463,60461823,31368,16,3.18,82,12.4,0,69,21,1.57974265172159,-0.90599142584993,1.13791448769346,0.697997709620828,0.431710302583786,0.407902698975717,"16- Italy"
"19","LTU",17,"Lithuania","2020-05-01",132768,1385,2722289,54,14,6.56,73,13.4,0,46,13,0.730571413958182,1.08202569621772,-1.26881142459509,-0.0431816289025758,-1.42175188385787,0.934194748893359,"17- Lithuania"
"20","LUX",18,"Luxembourg","2020-05-01",44895,3784,625976,103,10,4.51,83,12.1,0,49,8,-1.4091692120389,0.0533178978170244,-0.893799378917645,-0.767712791256307,0.624954073974029,0.241712361696261,"18- Luxembourg"
"22","NLD",19,"Netherlands","2020-05-03",238672,40236,17134870,5670,12,3.32,86,11.3,0,62,13,-0.249724837119369,-0.787706942607524,0.502958317926192,-0.0431816289025758,1.19101647007901,-0.222452554583357,"19- Netherlands"
"23","NOR",20,"Norway","2020-05-01",156444,7710,5421243,232,11,3.6,87,8.9,0,61,13,-0.803059579201685,-0.565409205132395,0.406440476694382,-0.0431816289025758,1.37532390942918,-1.8425640819325,"20- Norway"
"24","ROU",21,"Romania","2020-05-01",183688,12240,19237691,1046,12,6.892,74,13,0,54,10,-0.249724837119369,1.21757127444678,-0.317062918832161,-0.438646710293387,-1.20484491962177,0.728549730748156,"21- Romania"
"9","ESP",22,"Spain","2020-05-07",1625211,222045,46754781,27940,14,2.97,83,10.5,0,70,37,0.730571413958182,-1.09355952762818,1.22332195328936,1.59423716857766,0.624954073974029,-0.720714193362317,"22- Spain"
"3","CHE",23,"Switzerland","2020-05-01",280734,29503,8654617,1588,13,4.53,83,10.3,0,62,6,0.259293782496145,0.0654659934163249,0.502958317926192,-1.17982604881679,0.624954073974029,-0.851213720293264,"23- Switzerland"
"12","GBR",24,"United Kingdom","2020-05-01",996826,171253,67886017,33614,13,2.54,87,10.8,0,67,46,0.259293782496145,-1.52294443040001,0.963322005402273,1.94280206748482,1.37532390942918,-0.529553206887784,"24- United Kingdom"
